House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
7,Walker Prairie,Hazel,Nicholson,43,Head,Single,Female,Unemployed,None,Christian
7,Walker Prairie,Rita,Nicholson,17,Daughter,NA,Female,Student,None,NA
8,Walker Prairie,Clare,Reeves,41,Head,Single,Female,"Conservator, furniture",None,None
8,Walker Prairie,Lee,Yates,41,Partner,Single,Male,Plant breeder/geneticist,None,None
8,Walker Prairie,Charlie,Reeves,16,Son,NA,M,Student,None,NA
9,Walker Prairie,Kyle,Taylor,18,Head,Married,Male,Student,None,NA
9,Walker Prairie,Louise,Taylor,19,Wife,Married,Female,University Student,None,NA
10,Walker Prairie,Joan,Harrison,78,Head,Widowed,Female,"Retired Civil engineer, consulting",None,None
11,Walker Prairie,Louise,Davis,80,Head,Married,Female,Retired IT trainer,None,None
11,Walker Prairie,Mohamed,Davis,82,Husband,Married,Male,Retired Chiropractor,None,None
12,Walker Prairie,Heather,James,74,Head,Married,Female,Retired Freight forwarder,None,None
12,Walker Prairie,Iain,James,76,Husband,Married,Male,"Retired Designer, textile",None,None
12,Walker Prairie,Joyce,Wright,16,Granddaughter,NA,Female,Student,None,NA
13,Walker Prairie,Jodie,Moore,20,Head,Single,Female,University Student,None,Christian
13,Walker Prairie,Maurice,Newman,24,None,Single,Male,PhD Student,None,None
13,Walker Prairie,Tracey,Bolton,19,None,Single,Female,University Student,None,Catholic
13,Walker Prairie,Glen,Cook,18,None,Single,Male,University Student,None,None
14,Walker Prairie,Neil,Owen,44,Head,Single,Male,Housing manager/officer,None,Christian
14,Walker Prairie,Carly,Bell,47,None,Single,Female,Charity officer,None,Catholic
15,Walker Prairie,Stephanie,Edwards,71,Head,Married,Female,Retired Landscape architect,None,Christian
15,Walker Prairie,Stewart,Edwards,69,Husband,Married,Male,Retired Banker,None,Christian
16,Walker Prairie,Sandra,Brown,37,Head,Married,Female,Bonds trader,None,None
16,Walker Prairie,Brandon,Brown,39,Husband,Married,Male,Systems analyst,None,None
16,Walker Prairie,Nicola,Brown,4,Daughter,NA,Female,Child,None,NA
16,Walker Prairie,Alexander,Dixon-Brown,3,Son,NA,Male,Child,None,NA
16,Walker Prairie,Kerry,Dixon-Brown,3,Daughter,NA,Female,Child,None,NA
17,Walker Prairie,Sylvia,Hunter,29,Head,Single,Female,Catering manager,None,None
18,Walker Prairie,Amber,Rees,66,Head,Widowed,Female,Estate agent,None,Methodist
19,Walker Prairie,Lewis,Coles,58,Head,Single,Male,Secondary school teacher,None,Christian
19,Walker Prairie,Diane,Coles,27,Daughter,Single,Female,Jewellery designer,None,Christian
19,Walker Prairie,Charlie,Coles,22,Son,Divorced,Male,University Student,None,None
19,Walker Prairie,Adam,Coles,19,Son,Single,Male,University Student,None,Christian
19,Walker Prairie,Connor,Coles,10,Son,NA,Male,Student,None,NA
20,Walker Prairie,Clare,Martin,24,Head,Single,Female,Geographical information systems officer,None,None
20,Walker Prairie,Julie,Martin,7,Daughter,NA,Female,Student,None,NA
21,Walker Prairie,Mohammed,Tucker,72,Head,Married,Male,"Retired Teacher, English as a foreign language",None,None
21,Walker Prairie,Leah,Tucker,71,Wife,Married,Female,Retired Psychiatrist,None,None
22,Walker Prairie,Paige,Porter,50,Head,Married,Female,Mudlogger,None,None
22,Walker Prairie,Leslie,Porter,53,Husband,Married,Male,Theatre director,None,None
22,Walker Prairie,Joshua,Porter,23,Son,Single,male,Trading standards officer,None,None
22,Walker Prairie,Natasha,Porter,3,Daughter,NA,Female,Child,None,NA
23,Walker Prairie,Duncan,Edwards,18,Head,Married,Male,Student,None,NA
23,Walker Prairie,Rosemary,Edwards,19,Wife,Married,Female,University Student,None,NA
24,Walker Prairie,Leah,Morris,49,Head,Single,Female,"Education officer, environmental",None,Catholic
24,Walker Prairie,Ian,Freeman,54,Partner,Single,Male,"Engineer, electronics",None,Catholic
24,Walker Prairie,David,Morris,15,Son,NA,Male,Student,None,NA
1,Gray Ways,Sharon,Jones,44,Head,Married,Female,Acupuncturist,None,Catholic
1,Gray Ways,Gary,Jones,48,Husband,Married,Male,Field trials officer,None,None
1,Gray Ways,Katy,Jones,18,Daughter,Single,Female,Student,None,Catholic
1,Gray Ways,Brandon,Jones,17,Son,NA,M,Student,None,NA
2,Gray Ways,Alice,Turnbull,41,Head,Married,Female,Market researcher,None,None
2,Gray Ways,Sean,Turnbull,46,Husband,Married,Male,Analytical chemist,None,None
2,Gray Ways,Lorraine,Turnbull,11,Daughter,NA,Female,Student,None,NA
2,Gray Ways,Donna,Turnbull,7,Daughter,NA,Female,Student, ,NA
3,Gray Ways,Joanne,Burke,56,Head,Married,Female,Clinical research associate,None,None
3,Gray Ways,Jamie,Robinson,57,Husband,Married,Male,Careers information officer,None,None
3,Gray Ways,Lisa,Burke,24,Adopted Daughter,Single,Female,Trade mark attorney,None,None
3,Gray Ways,Dale,Burke,17,Son,NA,M,Student,None,NA
4,Gray Ways,Sian,Robertson,45,Head,Married,Female,Legal executive,None,Methodist
4,Gray Ways,Damian,Robertson,46,Husband,Married,Male,Field trials officer,None,None
4,Gray Ways,Brenda,Martin,16,Daughter,NA,Female,Student,None,NA
5,Gray Ways,Rosie,Hunt,62,Head,Married,Female,Logistics and distribution manager,Blind,Christian
5,Gray Ways,Stanley,Hunt,62,Husband,Married,Male,Environmental manager,None,Christian
5,Gray Ways,George,Hunt,45,Son,Single,Male,Environmental manager,None,None
5,Gray Ways,Bethany,Hunt,43,Daughter,Single,Female,Senior tax professional/tax inspector,None,Christian
6,Gray Ways,Lorraine,Nicholls,31,Head,Married,Female,Systems developer,None,None
6,Gray Ways,Mitchell,Nicholls,36,Husband,Married,Male,"Psychotherapist, child",None,None
6,Gray Ways,Ann,Bailey,64,Cousin,Single,Female,"Engineer, communications",None,Methodist
6,Gray Ways,Ashleigh,Williamson,24,Lodger,Divorced,Female,"Designer, fashion/clothing",None,Christian
7,Gray Ways,Janice,Ward,31,Head,Married,Female,Psychiatric nurse,None,None
7,Gray Ways,Lewis,Ward,32,Husband,Married,Male,Naval architect,None,None
7,Gray Ways,Zoe,Ward,3,Daughter,NA,Female,Child,None,NA
7,Gray Ways,Kenneth,Ward,0,Son,NA,Male,Child,None,NA
8,Gray Ways,Bethany,Fletcher,64,Head,Married,Female,Unemployed,None,None
8,Gray Ways,Gavin,Fletcher,67,Husband,Married,Male,Occupational hygienist,None,None
8,Gray Ways,Annette,Fletcher,35,Daughter,Single,Female,IT technical support officer,None,None
8,Gray Ways,Charlie,Fletcher,33,Son,Divorced,Male,"Nurse, adult",None,None
8,Gray Ways,Declan,Fletcher,31,Son,Single,Male,Diagnostic radiographer,None,None
9,Gray Ways,Shannon,Bevan,41,Head,Married,Female,"Designer, ceramics/pottery",None,None
9,Gray Ways,Sam,Bevan,41,Husband,Married,Male,Consulting civil engineer,None,None
9,Gray Ways,Elliott,Bevan,3,Son,NA,Male,Child,None,NA
9,Gray Ways,Katy,Bevan,3,Daughter,NA,Female,Child,None,NA
10,Gray Ways,Rita,Weston,66,Head,Widowed,Female,"Engineer, electrical",None,None
10,Gray Ways,Andrea,Weston,27,Daughter,Single,Female,Software engineer,None,None
10,Gray Ways,David,Weston,24,Son,Single,Male,Chief Marketing Officer,None,None
10,Gray Ways,Nicola,Weston,24,Daughter,Widowed,Female,Unemployed,None,None
11,Gray Ways,Francis,Davies,43,Head,Single,Male,Recycling officer,None,Christian
11,Gray Ways,Jessica,Holmes,33,None,Single,Female,Charity fundraiser,None,None
11,Gray Ways,Laura,Boyle,38,None,Single,Female,"Surveyor, hydrographic",None,None
11,Gray Ways,Sam,Bradley,21,None,Single,Male,University Student,None,None
12,Gray Ways,Mary,Douglas,50,Head,Married,Female,Town planner,None,None
12,Gray Ways,Dominic,Douglas,51,Husband,Married,Male,"Teacher, adult education",None,None
12,Gray Ways,Roy,Douglas,30,Son,Single,Male,Land/geomatics surveyor,None,None
12,Gray Ways,Clive,Douglas,26,Son,Single,Male,Estate agent,None,Catholic
12,Gray Ways,Megan,Douglas,5,Daughter,NA,Female,Student,None,NA
13,Gray Ways,Stephen,Jones,66,Head,Widowed,Male,"Surveyor, hydrographic",None,Methodist
14,Gray Ways,Annette,Pearce,45,Head,Married,Female,Broadcast presenter,None,Methodist
14,Gray Ways,Nicholas,Pearce,44,Husband,Married,Male,Corporate investment banker,None,Methodist
14,Gray Ways,Robin,Pearce,14,Son,NA,Male,Student,None,NA
15,Gray Ways,Lisa,Jones,35,Head,D,Female,Unemployed,None,Christian
15,Gray Ways,Gemma,Jones,8,Daughter,NA,Female,Student,None,NA
15,Gray Ways,Sylvia,Jones,1,Daughter,NA,Female,Child,None,NA
15,Gray Ways,Owen,Harris,19,Lodger,Single,Male,Learning disability nurse,None,Catholic
16,Gray Ways,Jessica,Hughes,64,Head,Married,Female,"Development worker, community",None,Methodist
16,Gray Ways,Edward,Hughes,64,Husband,Married,Male,Trade union research officer,None,None
16,Gray Ways,Jeffrey,Hughes,45,Son,Single,Male,"Administrator, local government",None,Methodist
16,Gray Ways,Lynn,Owen,42,Daughter,Single,Female,Chartered accountant,None,Methodist
17,Gray Ways,Bernard,Byrne,35,Head,Single,Male,"Engineer, land",None,Christian
17,Gray Ways,Victor,Clayton,45,None,Single,male,Health and safety adviser,None,Catholic
17,Gray Ways,Paul,Harding,55,None,Single,Male,Acupuncturist,None,None
17,Gray Ways,Melanie,Jones,50,None,Single,Female,Television camera operator,None,Christian
18,Gray Ways,Anne,Preston,24,Head,Divorced,Female,Fashion designer,None,None
18,Gray Ways,Sophie,Preston,2,Daughter,NA,Female,Child,None,NA
18,Gray Ways,Helen,Fisher,41,Lodger,Single,Female,Unemployed,None,Catholic
18,Gray Ways,Valerie,Thomas,55,Lodger,Single,Female,Amenity horticulturist,None,Christian
18,Gray Ways,Sharon,Jackson,38,Lodger,Single,Female,Catering manager,None,None
18,Gray Ways,Alex,Smith,35,Lodger,Widowed,Male,Structural engineer,None,None
19,Gray Ways,Max,Smith,50,Head,Married,Male,Theatre director,None,Catholic
19,Gray Ways,Marie,Smith,54,Wife,Married,Female,Chartered certified accountant,None,Catholic
19,Gray Ways,Douglas,Smith,19,Son,Single,Male,University Student,None,None
19,Gray Ways,Gillian,Smith,5,Daughter,NA,Female,Student,None,NA
20,Gray Ways,Susan,Conway,53,Head,Divorced,Female,Unemployed,None,Christian
20,Gray Ways,Andrea,Conway,24,Daughter,Single,Female,Fitness centre manager,None,None
20,Gray Ways,Darren,Conway,21,Son,Single,Male,Therapeutic radiographer,None,Christian
20,Gray Ways,Kyle,Conway,17,Son,NA,Male,Student,None,NA
21,Gray Ways,Clive,Henderson,52,Head,Single,Male,Operational researcher,None,None
21,Gray Ways,Georgina,West,25,None,Single,Female,Health physicist,None,None
21,Gray Ways,Terry,Barnes,21,None,Single,Male,University Student,None,Sikh
21,Gray Ways,Maurice,Collins,51,None,Single,Male,Education administrator,None,Christian
21,Gray Ways,Georgina,Lord,48,None,Single,Female,Unemployed,None,Christian
21,Gray Ways,Clare,Hudson,44,None,Single,Female,Charity officer,None,None
22,Gray Ways,Gillian,Patel,56,Head,Single,female,Optometrist,None,Christian
22,Gray Ways,Damian,Hussain,54,Partner,Single,Male,Logistics and distribution manager,None,Christian
23,Gray Ways,Glen,Sanders,59,Head,Married,Male,Theme park manager,None,Catholic
23,Gray Ways,Sandra,Sanders,48,Wife,Married,Female,Sport and exercise psychologist,None,Catholic
23,Gray Ways,Donna,Bailey,13,Daughter,NA,Female,Student,None,NA
23,Gray Ways,Lynne,Bailey,10,Daughter,NA,Female,Student,None,NA
23,Gray Ways,Jay,Bailey,8,Son,NA,Male,Student,None,NA
23,Gray Ways,Amber,Bailey,4,Daughter,NA,Female,Child,None,NA
24,Gray Ways,Sean,Ford,28,Head,Single,Male,Volunteer coordinator,None,None
24,Gray Ways,Paige,Sullivan,37,None,Single,Female,Insurance account manager,None,Methodist
24,Gray Ways,Graham,Jones,23,None,Single,Male,Warden/ranger,None,None
25,Gray Ways,Jill,Weston,54,Head,Married,Female,Equities trader,None,Catholic
25,Gray Ways,Karl,Weston,58,Husband,Married,Male,"Doctor, general practice",None,Catholic
25,Gray Ways,Jennifer,Weston,28,Daughter,Single,Female,Occupational therapist,None,Catholic
25,Gray Ways,Douglas,Weston,23,Son,Single,Male,Facilities manager,None,None
26,Gray Ways,Georgina,Metcalfe,28,Head,Married,Female,Sport and exercise psychologist,None,Methodist
26,Gray Ways,Callum,Metcalfe,33,Husband,Married,Male,Travel agency manager,None,Methodist
26,Gray Ways,Lucy,Ryan,19,Lodger,Single,Female,University Student,None,Christian
26,Gray Ways,Brandon,Ford,23,Lodger,Divorced,Male,"Administrator, local government",None,Christian
27,Gray Ways,Nicola,Begum,68,Head,Divorced,Female,"Retired Education officer, museum",None,Christian
27,Gray Ways,Shannon,Begum,49,Daughter,Single,Female,Unemployed,None,Christian
27,Gray Ways,Ricky,Begum,47,Son,Single,Male,"Lighting technician, broadcasting/film/video",None,None
27,Gray Ways,Dale,Begum,44,Son,Divorced,Male,Health and safety inspector,None,Christian
27,Gray Ways,Marilyn,Begum,41,Daughter,Single,Female,Unemployed,None,Christian
27,Gray Ways,Samantha,Begum,38,Daughter,Divorced,Female,Immunologist,None,Christian
28,Gray Ways,Josephine,Foster,49,Head,Married,Female,Unemployed,None,Christian
28,Gray Ways,William,Foster,50,Husband,Married,Male,Patent examiner,None,Christian
28,Gray Ways,Ashleigh,Foster,15,Daughter,NA,Female,Student,None,NA
28,Gray Ways,Lee,Foster,15,Son,NA,male,Student,None,NA
29,Gray Ways,Margaret,King,31,Head,Single,Female,Broadcast presenter,None,None
30,Gray Ways,Aimee,Berry,20,Head,Married,Female,University Student,None,Catholic
30,Gray Ways,Daniel,Berry,19,Husband,Married,Male,University Student,None,None
30,Gray Ways,Kim,Berry,4,Daughter,NA,Female,Child,None,NA
30,Gray Ways,Naomi,Berry,3,Daughter,NA,Female,Child,None,NA
31,Gray Ways,Graeme,Grant,35,Head,Single,Male,Unemployed,None,Catholic
31,Gray Ways,Joshua,Middleton-Grant,13,Son,NA,Male,Student,None,NA
31,Gray Ways,Jennifer,Middleton-Grant,6,Daughter,NA,Female,Student,None,NA
31,Gray Ways,Beth,Middleton-Grant,1,Daughter,NA,Female,Child,None,NA
32,Gray Ways,Jacqueline,Barker,37,Head,Single,Female,Unemployed,None,None
32,Gray Ways,Dale,Barber,37,Partner,Single,Male,Actuary,None,None
32,Gray Ways,Jean,Barker,14,Daughter,NA,Female,Student,None,NA
32,Gray Ways,Dorothy,Barker,10,Daughter,NA,Female,Student,None,NA
32,Gray Ways,Stacey,Barker,6,Daughter,NA,Female,Student,None,NA
33,Gray Ways,Francesca,Hall,31,Head,Single,Female,Unemployed,Blind,Muslim
33,Gray Ways,Tom,Hall,4,Son,NA,Male,Child,None,NA
33,Gray Ways,Amanda,Hyde,43,Lodger,Single,Female,"Engineer, mining",None,Christian
34,Gray Ways,Jennifer,Hartley,50,Head,Married,Female,Fish farm manager,None,Sikh
34,Gray Ways,Charlie,Hartley,49,Husband,Married,Male,Product manager,None,Sikh
34,Gray Ways,Glenn,Hartley,3,Son,NA,Male,Child,None,NA
34,Gray Ways,Grace,Clark,30,Lodger,Single,Female,Unemployed,None,Catholic
35,Gray Ways,Josh,Lewis,81,Head,Married,Male,Retired Translator,None,Christian
35,Gray Ways,Jemma,Lewis,82,Wife,Married,Female,Retired Dance movement psychotherapist,None,Christian
36,Gray Ways,Louise,Taylor,29,Head,Married,Female,Learning mentor,None,None
36,Gray Ways,Cameron,Taylor,26,Husband,Married,Male,"Pharmacist, community",None,None
36,Gray Ways,Hollie,Taylor,0,Daughter,NA,Female,Child,None,NA
36,Gray Ways,Howard,Kelly,57,Lodger,Divorced,Male,Unemployed,None,None
37,Gray Ways,Leah,Peters,80,Head,Married,Female,"Retired Accountant, chartered public finance",None,None
37,Gray Ways,James,Peters,78,Husband,Married,Male,Retired Technical brewer,None,None
38,Gray Ways,Lee,Carr,46,Head,Single,Male,Unemployed,None,None
38,Gray Ways,Steven,Ellis-Carr,14,Son,NA,Male,Student,None,NA
38,Gray Ways,Charlene,Ellis-Carr,7,Daughter,NA,Female,Student,None,NA
38,Gray Ways,Leanne,Lees-Ellis-Carr,4,Daughter,NA,Female,Child,None,NA
1,Anvil Street,Holly,Pickering,32,Head,Single,Female,Unemployed,None,Catholic
1,Anvil Street,Jenna,Pickering,6,Daughter,NA,Female,Student,None,NA
1,Anvil Street,Alexander,Pickering,6,Son,NA,Male,Student,None,NA
1,Anvil Street,Susan,Pickering,2,Daughter,NA,Female,Child,None,NA
2,Anvil Street,Jill,Wood,46,Head,Married,Female,Public relations officer,None,None
2,Anvil Street,Owen,Wood,48,Husband,Married,Male,Sports administrator,None,None
2,Anvil Street,Diane,Wood,10,Daughter,NA,Female,Student,Blind,NA
2,Anvil Street,Luke,Wood,7,Son,NA,Male,Student,None,NA
3,Anvil Street,Francesca,Martin,57,Head,Married,female,Secondary school teacher,None,Christian
3,Anvil Street,Matthew,Martin,56,Husband,Married,Male,"Conservator, furniture",None,Christian
3,Anvil Street,Kieran,Martin,28,Son,Single,Male,"Producer, television/film/video",None,None
3,Anvil Street,Patricia,Martin,24,Daughter,Single,Female,Unemployed,None,Christian
3,Anvil Street,Marie,Martin,22,Daughter,Divorced,Female,University Student,None,Christian
3,Anvil Street,Bernard,Martin,9,Son,NA,Male,Student,None,NA
4,Anvil Street,Jill,Owen,37,Head,Married,Female,Public relations account executive,None,Catholic
4,Anvil Street,Glen,Owen,37,Husband,Married,Male,"Scientist, water quality",None,Catholic
4,Anvil Street,Reece,Owen,10,Son,NA,Male,Student,None,NA
5,Anvil Street,Dawn,Gray,44,Head,Divorced,Female,Unemployed,None,None
5,Anvil Street,Stephen,Gray,16,Son,NA,Male,Student,None,NA
5,Anvil Street,Jay,Gray,10,Son,NA,Male,Student,None,NA
5,Anvil Street,Josh,Gray,7,Son,NA,Male,Student,None,NA
5,Anvil Street,Molly,Gray,6,Daughter,NA,Female,Student,None,NA
5,Anvil Street,Helen,Gray,5,Daughter,NA,Female,Student,None,NA
6,Anvil Street,Nicholas,Young,36,Head,Single,Male,"Lecturer, further education",None,Catholic
6,Anvil Street,Carly,Jones,34,Partner,Single,Female,Facilities manager,None,None
6,Anvil Street,Bradley,Young,7,Son,NA,Male,Student,None,NA
6,Anvil Street,Harry,Young,5,Son,NA,Male,Student,None,NA
6,Anvil Street,Linda,Young,3,Daughter,NA,Female,Child,None,NA
6,Anvil Street,David,Young,3,Son,NA,Male,Child,None,NA
6,Anvil Street,Stephanie,Young,0,Daughter,NA,Female,Child,None,NA
7,Anvil Street,Lydia,Parker,50,Head,Married,Female,Geophysical data processor,None,Methodist
7,Anvil Street,Norman,Parker,52,Husband,Married,Male,Environmental health practitioner,None,Methodist
7,Anvil Street,Martin,Parker,26,Son,Single,Male,Scientific laboratory technician,None,None
7,Anvil Street,Elliott,Parker,24,Son,Single,Male,Unemployed,None,None
7,Anvil Street,Cameron,Parker,2,Son,NA,Male,Child,None,NA
8,Anvil Street,Pauline,Brown,60,Head,Single,Female,Research scientist (physical sciences),None,Christian
9,Anvil Street,Mohamed,Baker,40,Head,Married,M,Artist,None,None
9,Anvil Street,Kayleigh,Baker,39,Wife,Married,Female,Furniture designer,Physical Disability,None
9,Anvil Street,Matthew,Baker,15,Son,NA,Male,Student,None,NA
10,Anvil Street,Kimberley,Mills,51,Head,Single,Female,Patent examiner,None,Catholic
10,Anvil Street,Kevin,Spencer,54,Partner,Single,Male,Petroleum engineer,None,Catholic
10,Anvil Street,Amanda,Mills,25,Daughter,Single,Female,Unemployed,None,None
10,Anvil Street,Albert,Mills,24,Son,Single,Male,Medical secretary,None,Catholic
10,Anvil Street,Leanne,Mills,13,Daughter,NA,Female,Student,None,NA
11,Anvil Street,Irene,Lewis,37,Head,Married,Female,Acupuncturist,None,Methodist
11,Anvil Street,Norman,Lewis,40,Husband,Married,Male,"Psychologist, sport and exercise",None,None
11,Anvil Street,Shannon,Powell-Lewis,18,Daughter,Divorced,Female,Student,None,Methodist
11,Anvil Street,Barbara,Powell-Lewis,16,Daughter,NA,Female,Student,None,NA
11,Anvil Street,Glen,Powell-Lewis,12,Son,NA,Male,Student,None,NA
12,Anvil Street,Angela,Dodd,45,Head,Single,Female,Counselling psychologist,None,Catholic
13,Anvil Street,Kathryn,Hughes,25,Head,Married,Female,Armed forces technical officer,None,Jewish
13,Anvil Street,Garry,Hughes-Wright,24,Husband,Married,Male,Unemployed,None,Jewish
13,Anvil Street,Wendy,Hughes-Wright,0,Daughter,NA,Female,Child,None,NA
13,Anvil Street,Susan,Allan,48,Lodger,Single,Female,Unemployed,None,None
14,Anvil Street,Sylvia,Evans,42,Head,Divorced,Female,Ranger/warden,None,None
14,Anvil Street,Clare,Evans,6,Daughter,NA,Female,Student,None,NA
14,Anvil Street,Terence,Evans,1,Son,NA,Male,Child,None,NA
14,Anvil Street,Jessica,Wood,29,Lodger,Single,Female,Unemployed,None,Agnostic
15,Anvil Street,Jane,Bibi,61,Head,Single,Female,Physiological scientist,None,Christian
15,Anvil Street,Jake,Davies,3,Grandson,NA,Male,Child,None,NA
16,Anvil Street,Lynn,Scott,25,Head,Single,Female,"Engineer, manufacturing systems",None,None
16,Anvil Street,Nigel,Hunter,27,Partner,Single,Male,Counsellor,None,None
16,Anvil Street,Luke,Scott,2,Son,NA,Male,Child,None,NA
17,Anvil Street,Lucy,Coates,26,Head,Married,Female,Counselling psychologist,None,None
17,Anvil Street,Mitchell,Coates,28,Husband,Married,Male,"Administrator, sports",None,None
17,Anvil Street,Pamela,Coates,2,Daughter,NA,Female,Child,None,NA
17,Anvil Street,Gavin,Coates,0,Son,NA,Male,Child,None,NA
17,Anvil Street,Christopher,Webster,58,Sibling,Single,Male,Operations geologist,None,None
18,Anvil Street,Lynda,Gilbert,53,Head,Married,Female,Politician's assistant,None,Methodist
18,Anvil Street,Aaron,Gilbert,55,Husband,Married,Male,Diagnostic radiographer,None,Methodist
18,Anvil Street,Caroline,Gilbert,25,Daughter,Single,Female,Leisure centre manager,None,Methodist
18,Anvil Street,Jordan,Gilbert,22,Son,Single,Male,University Student,None,Methodist
18,Anvil Street,Joanna,Gilbert,20,Daughter,Single,Female,University Student,None,Methodist
18,Anvil Street,Mark,Gilbert,16,Son,NA,Male,Student,None,NA
19,Anvil Street,Dean,Walton,63,Head,Married,Male,Technical sales engineer,None,Christian
19,Anvil Street,Maureen,Walton,58,Wife,Married,Female,Commercial/residential surveyor,None,None
19,Anvil Street,Catherine,Walton,21,Daughter,Single,Female,University Student,None,Christian
19,Anvil Street,Shaun,Walton,14,Son,NA,Male,Student,None,NA
20,Anvil Street,Carole,Miller-Clarke,40,Head,Divorced,Female,Unemployed,None,None
20,Anvil Street,Nicole,Miller-Clarke,22,Daughter,Divorced,Female,University Student,None,None
20,Anvil Street,Victor,Lee,21,Son,Divorced,Male,University Student,None,None
21,Anvil Street,Irene,Ali,54,Head,Married,Female,Planning and development surveyor,None,None
21,Anvil Street,Adrian,Ali,56,Husband,Married,m,Medical laboratory scientific officer,None,None
21,Anvil Street,Eleanor,Ali,26,Daughter,Single,Female,Immigration officer,None,None
21,Anvil Street,Craig,Ali,24,Son,Single,Male,"Engineer, electronics",None,None
22,Anvil Street,Rosemary,Oliver,57,Head,Single,Female,Interpreter,None,Christian
22,Anvil Street,Duncan,Oliver,25,Son,Single,Male,Occupational therapist, ,Christian
22,Anvil Street,Vincent,Oliver,24,Son,Single,Male,"Clinical scientist, histocompatibility and immunogenetics",None,Christian
22,Anvil Street,Russell,Oliver,24,Son,Single,Male,Archaeologist,None,Christian
22,Anvil Street,Eleanor,Oliver,14,Daughter,NA,Female,Student,None,NA
23,Anvil Street,Michelle,Metcalfe,42,Head,Married,Female,"Accountant, chartered",None,None
23,Anvil Street,Martin,Metcalfe,50,Husband,Married,Male,Biomedical engineer,None,None
23,Anvil Street,Julian,Metcalfe,5,Son,NA,Male,Student,None,NA
23,Anvil Street,Michael,Metcalfe,3,Son,NA,Male,Child,None,NA
24,Anvil Street,Shirley,Walker,87,Head,Widowed,Female,"Retired Surveyor, minerals",None,Methodist
25,Anvil Street,Joan,Carter,66,Head,Single,Female,Unemployed,None,Christian
25,Anvil Street,Natalie,Carter,34,Daughter,Single,Female,Unemployed,None,None
25,Anvil Street,Karl,Carter,32,Son,Single,Male,Unemployed,None,None
25,Anvil Street,Joanna,Carter,29,Daughter,Single,Female,Unemployed,None,Christian
25,Anvil Street,Rita,Carter,25,Daughter,Divorced,f,"Biochemist, clinical",None,Christian
26,Anvil Street,Judith,Morrison,49,Head,Married,Female,Magazine features editor,None,Methodist
26,Anvil Street,Guy,Morrison,52,Husband,Married,Male,Hotel manager,None,Methodist
26,Anvil Street,Howard,Morrison,23,Son,Single,Male,Landscape architect,None,None
26,Anvil Street,Nicola,Griffiths,2,Daughter,NA,Female,Child,None,NA
27,Anvil Street,Charlene,Powell,71,Head,Widowed,Female,Retired Chiropractor,None,Christian
28,Anvil Street,Gareth,Hobbs,63,Head,Married,Male,Technical sales engineer,None,Catholic
28,Anvil Street,Claire,Hobbs,64,Wife,Married,Female,"Investment banker, corporate",None,None
29,Anvil Street,Lauren,Powell,36,Head,Single,Female,"Therapist, speech and language",None,Catholic
30,Anvil Street,Sara,Watts,78,Head,Married,Female,Retired Podiatrist,None,Methodist
30,Anvil Street,Steven,Watts,80,Husband,Married,Male,Retired Probation officer,None,None
30,Anvil Street,Francis,Watts,15,Grandson,NA,Male,Student,None,NA
30,Anvil Street,Pauline,Watts,12,Granddaughter,NA,Female,Student,None,NA
31,Anvil Street,Lauren,Stevens,46,Head,Divorced,Female,Education administrator,None,Catholic
31,Anvil Street,Abdul,Stevens,11,Son,NA,Male,Student,None,NA
32,Anvil Street,Bethan,Blackburn,45,Head,Married,f,"Teacher, music",None,Catholic
32,Anvil Street,Howard,Blackburn,52,Husband,Married,Male,Human resources officer,None,Catholic
32,Anvil Street,Beth,Blackburn,19,Daughter,Single,Female,University Student,None,Catholic
32,Anvil Street,Charlie,Blackburn,15,Son,NA,Male,Student,None,NA
33,Anvil Street,Rosemary,Russell,39,Head,Married,Female,Unemployed,None,Catholic
33,Anvil Street,Leon,Russell,44,Husband,Married,Male,Food technologist,None,None
33,Anvil Street,Francis,Russell,3,Son,NA,Male,Child,None,NA
33,Anvil Street,Stewart,Russell,2,Son,NA,Male,Child,None,NA
33,Anvil Street,Elliot,Baldwin,37,Lodger,Divorced,Male,Therapeutic radiographer,None,Christian
34,Anvil Street,Kimberley,Hussain,52,Head,Married,female,International aid/development worker,None,Catholic
34,Anvil Street,Lawrence,Hussain,54,Husband,Married,Male,Freight forwarder,None,Catholic
34,Anvil Street,Marcus,Hussain,17,Grandson,NA,Male,Student,None,NA
34,Anvil Street,Leonard,Hussain,13,Grandson,NA,Male,Student,None,NA
34,Anvil Street,Geraldine,Harris,4,Granddaughter,NA,Female,Child,None,NA
34,Anvil Street,Jade,Davies,54,Lodger,Single,Female,"Surveyor, minerals",None,Catholic
35,Anvil Street,Victoria,Hart,34,Head,Single,Female,Insurance claims handler,None,Catholic
35,Anvil Street,Jason,Lewis,42,Partner,Single,Male,"Development worker, international aid",None,None
35,Anvil Street,Kate,Hart,0,Daughter,NA,Female,Child,None,NA
35,Anvil Street,Nicole,Baker,19,Lodger,Divorced,Female,University Student,None,Christian
36,Anvil Street,Louise,Garner,28,Head,Married,Female,Art therapist,None,Muslim
36,Anvil Street,Leigh,Garner,28,Husband,Married,Male,"Psychologist, counselling",None,Muslim
36,Anvil Street,Alison,Garner,11,Daughter,NA,Female,Student,None,NA
